date,open,close,high,low,volume,50_ma,100_ma,200_ma,RSI
2022-06-21,371.89,375.07,376.525,371.81,76811861.0,,,,
2022-06-22,370.62,374.39,378.72,370.18,90059424.0,,,,
2022-06-23,376.64,378.06,378.83,372.89,79292135.0,,,,
2022-06-24,381.4,390.08,390.09,381.365,97948933.0,,,,
2022-06-27,391.05,388.59,391.36,387.44,65955617.0,,,,
2022-06-28,390.23,380.65,393.16,380.53,86680824.0,,,,
2022-06-29,381.23,380.34,382.27,378.42,65583999.0,,,,
2022-06-30,376.24,377.25,380.6582,372.56,112503273.0,,,,
2022-07-01,376.56,381.24,381.7,373.8,74837629.0,,,,
2022-07-05,375.88,381.96,381.98,372.9,81406965.0,,,,
2022-07-06,382.11,383.25,385.87,379.6,70121444.0,,,,
2022-07-07,385.12,388.99,389.83,383.267,64511919.0,,,,
2022-07-08,387.27,388.67,390.64,385.66,72385765.0,,,,
2022-07-11,385.85,384.23,386.87,383.5,58366945.0,,,,60.021881838074435
2022-07-12,383.65,380.83,386.16,378.99,62219178.0,,,,55.86558044806515
2022-07-13,375.1,378.83,381.92,374.658,84198649.0,,,,54.403014676715586
2022-07-14,373.61,377.91,379.0498,371.04,89704819.0,,,,49.84266834487101
2022-07-15,382.55,385.13,385.25,380.54,79026583.0,,,,44.22673198040588
2022-07-18,388.38,381.95,389.09,380.66,63203626.0,,,,42.549371633752244
2022-07-19,386.08,392.27,392.87,385.39,78505972.0,,,,62.37750319556883
2022-07-20,392.47,394.77,396.26,391.03,71843769.0,,,,64.68552819051499
2022-07-21,394.16,398.79,398.84,391.63,64903856.0,,,,71.51418298042351
2022-07-22,398.92,395.09,400.18,392.75,72197322.0,,,,63.91400442033349
2022-07-25,395.75,395.57,396.47,393.21,53599485.0,,,,63.73914799111648
2022-07-26,393.84,390.89,394.06,389.95,52946393.0,,,,57.21844293272863
2022-07-27,394.36,401.04,402.88,394.05,82042106.0,,,,60.509331937903355
2022-07-28,401.89,406.07,406.8,398.15,73962563.0,,,,64.02321083172143
2022-07-29,407.58,411.99,413.03,406.77,87003672.0,,,,71.85138539042816
2022-08-01,409.15,410.77,413.41,408.4,69972971.0,,,,74.40495598304528
2022-08-02,409.12,408.06,413.0,406.82,63435418.0,,,,73.55358581788879
2022-08-03,410.3,414.45,415.68,410.0,67810555.0,,,,77.05864928909946
2022-08-04,414.37,414.17,415.09,412.44,45656574.0,,,,73.96830637173983
2022-08-05,409.66,413.47,414.15,409.6,56814929.0,,,,77.12564543889845
2022-08-08,415.25,412.99,417.62,411.83,54025965.0,,,,71.46705346042269
2022-08-09,412.22,411.35,412.75,410.22,44931772.0,,,,67.48945147679325
2022-08-10,418.78,419.99,420.14,416.72,68580712.0,,,,70.37677816224527
2022-08-11,422.99,419.99,424.95,419.21,59489704.0,,,,75.76572847682124
2022-08-12,422.03,427.1,427.21,421.03,61626042.0,,,,78.68971792538674
2022-08-15,424.765,428.86,429.41,424.71,53892880.0,,,,86.48856428983284
2022-08-16,427.73,429.7,431.73,426.88,59289039.0,,,,83.54400749063673
2022-08-17,425.91,426.65,429.5,424.54,62805394.0,,,,75.25773195876289
2022-08-18,426.86,427.89,428.61,425.5,49023206.0,,,,72.04658901830283
2022-08-19,424.98,422.14,425.26,421.22,67670402.0,,,,64.00591278640063
2022-08-22,417.05,413.35,417.23,412.4,77438140.0,,,,55.667452324833974
2022-08-23,412.9,412.35,415.42,411.77,49105249.0,,,,47.45639534883724
2022-08-24,412.11,413.67,415.1101,411.39,49159304.0,,,,49.40926275992439
2022-08-25,415.24,419.51,419.56,414.09,50642252.0,,,,56.363253265908114
2022-08-26,419.39,405.31,419.96,405.25,102816976.0,,,,43.7234390323635
2022-08-29,402.2,402.63,405.84,401.1999,65368110.0,,,,42.992606878817064
2022-08-30,403.85,398.21,404.1,396.0,85554443.0,399.93019999999996,,,31.224137931034434
2022-08-31,399.93,395.18,401.24,395.04,75752871.0,400.3324,,,29.6739308536785
2022-09-01,392.89,396.42,396.78,390.04,78635284.0,400.773,,,22.18999274836834
2022-09-02,400.28,392.24,401.555,390.33,99632149.0,401.05659999999995,,,18.200764154220167
2022-09-06,393.13,390.76,394.12,388.42,76395050.0,401.07020000000006,,,16.55788388869803
2022-09-07,390.43,397.78,398.59,390.2,70764232.0,401.254,,,26.78887280913328
2022-09-08,395.39,400.38,400.86,394.12,80821681.0,401.6486,,,28.355625491738778
2022-09-09,402.74,406.6,407.51,402.46,76506918.0,402.17379999999997,,,37.863167760074994
2022-09-12,408.78,410.97,411.73,408.46,69227012.0,402.8482,,,48.00335570469799
2022-09-13,401.83,393.1,403.1,391.92,122922881.0,403.0854,,,37.413364718190145
2022-09-14,394.47,394.6,396.2,391.12,85023747.0,403.3382,,,37.56033920417483
2022-09-15,392.96,390.12,395.96,388.78,86700840.0,403.4756,,,30.482135741798402
2022-09-16,384.14,385.56,386.25,382.11,103024319.0,403.40700000000004,,,34.95811119573497
2022-09-19,382.26,388.55,388.55,382.1784,73278490.0,403.4046,,,39.32686476652519
2022-09-20,385.06,384.09,386.12,381.195,77197482.0,403.4018,,,39.30303030303032
2022-09-21,386.11,377.39,389.31,377.38,106746554.0,403.333,,,37.23266829338311
2022-09-22,376.58,374.22,378.3,373.44,89472641.0,403.24080000000004,,,34.49720670391065
2022-09-23,370.58,367.95,370.62,363.29,121656933.0,403.04159999999996,,,33.51879495182523
2022-09-26,366.41,364.31,370.21,363.0299,92561244.0,402.62519999999995,,,32.56427158866185
2022-09-27,368.02,363.38,370.4,360.87,108095972.0,402.25380000000007,,,25.34403669724776
2022-09-28,364.38,370.53,372.3,362.6,110524217.0,401.819,,,29.915220024222847
2022-09-29,366.81,362.79,367.11,359.7,112936695.0,401.17940000000004,,,21.113015956745343
2022-09-30,361.8,357.18,365.91,357.04,152793243.0,400.3472,,,15.103152977812371
2022-10-03,361.08,366.61,368.55,359.21,89746479.0,399.7776,,,30.700859682354647
2022-10-04,372.4,377.97,378.0,366.5677,103602775.0,399.4256,,,39.40629379538795
2022-10-05,373.39,377.09,379.46,370.95,88065669.0,399.14959999999996,,,41.30057417545733
2022-10-06,375.62,373.2,378.72,372.68,82333516.0,398.5928,,,41.67340339531123
2022-10-07,368.97,362.79,373.2933,360.94,107759998.0,397.72720000000004,,,34.223419892209705
2022-10-10,363.96,360.02,364.21,357.67,76042765.0,396.6878,,,34.94684177611006
2022-10-11,358.235,357.74,363.03,355.71,92482785.0,395.6272,,,36.9919237389117
2022-10-12,358.17,356.56,359.8179,356.3,76991799.0,394.5972,,,37.99292901822137
2022-10-13,349.205,365.97,367.51,348.11,147224518.0,393.62760000000003,,,48.708920187793446
2022-10-14,368.55,357.63,370.26,356.96,123575113.0,392.4968,,,45.895797493241574
2022-10-17,364.01,366.82,367.9799,357.2808,93168231.0,391.56379999999996,,,51.918786256135654
2022-10-18,375.13,371.13,375.45,367.52,97139850.0,390.72659999999996,,,50.34562211981567
2022-10-19,368.99,368.5,371.85,365.55,79717863.0,389.8696,,,53.494919818827256
2022-10-20,368.03,365.41,372.67,364.61,88283087.0,388.77799999999996,,,55.197675887331066
2022-10-21,365.12,374.29,374.8,363.54,130882479.0,387.86400000000003,,,54.884253370643606
2022-10-24,375.89,378.87,380.06,373.11,85416407.0,386.89939999999996,,,50.62639198218261
2022-10-25,378.79,384.92,385.25,378.671,78833848.0,386.02060000000006,,,55.08375535644724
2022-10-26,381.62,382.02,387.58,381.35,103906848.0,385.06700000000006,,,55.801104972375676
2022-10-27,383.07,379.98,385.0,379.33,81971756.0,384.1336,,,62.70509977827051
2022-10-28,379.87,389.02,389.52,379.68,100301958.0,383.3562,,,69.61580086580088
2022-10-31,386.44,386.21,388.4,385.26,96443258.0,382.6376,,,69.12021490933512
2022-11-01,390.14,384.52,390.39,383.29,85203598.0,382.061,,,68.64994663820704
2022-11-02,383.9,374.87,388.63,374.76,126990356.0,381.3114,,,55.91755319148936
2022-11-03,371.465,371.01,374.2,368.79,87088515.0,380.4582,,,59.45984162895929
2022-11-04,377.0,376.35,378.87,370.0,103479982.0,379.595,,,57.12576641244208
2022-11-07,377.71,379.95,380.57,375.53,68286947.0,379.0878000000001,,,56.66565900846433
2022-11-08,381.11,382.0,385.12,377.72,84441062.0,378.6752,,,60.292772186642274
2022-11-09,379.93,374.13,381.14,373.61,78454648.0,378.1936,389.06190000000004,,56.196702671972695
2022-11-10,388.05,394.69,395.04,385.642,141455847.0,378.1838,389.25809999999996,,62.43295953193563
2022-11-11,395.59,398.51,399.35,393.61,93839872.0,378.2256,389.4993,,62.08169291338582
2022-11-14,396.66,395.12,400.1799,394.83,71522915.0,378.2832,389.66990000000004,,56.486899007886024
2022-11-15,401.15,398.49,402.31,394.49,93153920.0,378.4378,389.754,,60.412188645846534
2022-11-16,396.78,395.45,397.78,394.79,68508454.0,378.3912,389.82259999999997,,59.65788487951054
2022-11-17,390.46,394.24,394.95,390.14,74426055.0,378.2684,389.9585000000001,,53.611956822585135
2022-11-18,397.74,396.03,397.81,393.04,92442751.0,378.057,390.1154,,56.892195395845036
2022-11-21,394.64,394.59,395.82,392.66,51152189.0,377.7294,390.2888,,57.092548246231864
2022-11-22,396.63,399.9,400.07,395.1527,60420325.0,377.8654,390.47540000000004,,68.77719429857463
2022-11-23,399.55,402.42,402.93,399.31,67212628.0,378.0218,390.68,,74.04685346807535
2022-11-25,401.83,402.33,402.91,401.535,30545434.0,378.26599999999996,390.87080000000003,,71.6283716283716
2022-11-28,399.09,395.91,400.81,395.11,68021749.0,378.47299999999996,390.94,,62.69083969465652
2022-11-29,396.05,395.23,397.3,393.3,52310039.0,378.60659999999996,391.00559999999996,,60.75434888635995
2022-11-30,395.49,407.68,407.68,393.48,144105353.0,379.0784,391.24010000000004,,75.38205477379333
2022-12-01,408.77,407.38,410.0,404.75,75908170.0,379.6782,391.5056000000001,,63.84464324678159
2022-12-02,402.25,406.91,407.86,402.14,83492731.0,380.332,391.7864,,59.88700564971756
2022-12-05,403.95,399.59,404.93,398.17,77039815.0,380.9648,392.00320000000005,,54.81577246283125
2022-12-06,399.42,393.83,399.99,391.64,77048217.0,381.5552,392.0902,,45.22540983606555
